Cluster ID,1,2,3,4,5
Center of Mass,"(40, 20, -7)","(16, 9, -5)","(5, -5, 4)","(6, 22, 35)","(-7, 7, -4)"
Cohen et al-Individual differences in extr.. Table 1 Study 2 anticipation,1,0,1,0,0
John O Doherty et al-Neural Responses during Antici.. Table 1-1 Regions Responding during Anticipation of Glucose and Salt Tastes,0,0,0,0,0
Kirscg et al-Anticipation of reward in a no.. Table 1 - Locations and T values for the significant activations for the contrast monetary reward > visual cue,1,2,0,1,1
Kirscg et al-Anticipation of reward in a no.. Table 3 - Locations and T values for the significant activations for the contrast verbal reward > visual cue,1,2,1,0,0
Knutson et al-A region of mesial prefrontal .. Table 1-1 - reward versus nonreward outcomes on MPFC - Anticipation: Potential gain vs no outcome,1,2,1,1,2
Knutson et al-Anticipation of Increasing Mon.. Table 1-2 Regressor of interest Z scores and Talairach coordinates of peak activation foci right/anterior/superior (RAS),0,1,1,2,1
Knutson et al-Dissociation of reward anticip.. Table 1 - Group maximum Z-scores and Talairach Coordinates of activation foci,1,2,1,1,2
Koeneke et al-Individual preferences modulat.. Table 2 - Clusters showing preference-dependent activation during the anticipation phase.,1,0,0,0,0
Spreckelmeyer et al-Anticipation of monetary and s.. Table 4-1 Brain regions activated during the anticipation of monetary or social rewards,0,0,0,0,0
Spreckelmeyer et al-Anticipation of monetary and s.. Table 4-2 Brain regions activated during the anticipation of monetary or social rewards,0,0,0,0,0
